bench_name,ncpu,ops,media,fs
100B,1,5385069.239416,ssd,ext4
1KB,1,4409783.669212,ssd,ext4
2KB,1,3141920.777498,ssd,ext4
4KB,1,1893496.936947,ssd,ext4
16KB,1,511020.876017,ssd,ext4
64KB,1,129508.444549,ssd,ext4
1MB,1,7954.842287,ssd,ext4
100B,1,5283147.823111,ssd,ext4_dj
1KB,1,3402140.987190,ssd,ext4_dj
2KB,1,1839559.414910,ssd,ext4_dj
4KB,1,1056642.408144,ssd,ext4_dj
16KB,1,286760.997861,ssd,ext4_dj
64KB,1,104808.717214,ssd,ext4_dj
1MB,1,6971.321590,ssd,ext4_dj
100B,1,4865729.758254,ssd,xfs
1KB,1,4022753.669753,ssd,xfs
2KB,1,2973289.826542,ssd,xfs
4KB,1,1668183.593486,ssd,xfs
16KB,1,346958.763705,ssd,xfs
64KB,1,129445.261400,ssd,xfs
1MB,1,7960.709545,ssd,xfs
100B,1,3824913.494625,pmem,ext4_dax
1KB,1,2553698.362744,pmem,ext4_dax
2KB,1,1421084.533494,pmem,ext4_dax
4KB,1,758520.438962,pmem,ext4_dax
16KB,1,216614.188616,pmem,ext4_dax
64KB,1,53259.607266,pmem,ext4_dax
1MB,1,2894.653619,pmem,ext4_dax
100B,1,3557021.960658,pmem,xfs_dax
1KB,1,2492061.511551,pmem,xfs_dax
2KB,1,1406301.948764,pmem,xfs_dax
4KB,1,800126.057458,pmem,xfs_dax
16KB,1,211145.754717,pmem,xfs_dax
64KB,1,56474.302796,pmem,xfs_dax
1MB,1,3100.233047,pmem,xfs_dax
100B,1,5578630.124780,pmem,nova
1KB,1,2407647.659358,pmem,nova
2KB,1,1462013.751833,pmem,nova
4KB,1,719199.767349,pmem,nova
16KB,1,254087.766240,pmem,nova
64KB,1,65488.717146,pmem,nova
1MB,1,3921.311457,pmem,nova
100B,1,5871521.985292,pmem,p2cache
1KB,1,3791790.293214,pmem,p2cache
2KB,1,2243616.400428,pmem,p2cache
4KB,1,1369246.740358,pmem,p2cache
16KB,1,436264.267533,pmem,p2cache
64KB,1,120624.917173,pmem,p2cache
1MB,1,7959.216787,pmem,p2cache
HOLE_1KB,1,1920320.231777,pmem,p2cache
HOLE_2KB,1,1530356.079535,pmem,p2cache
