,bench_name,ext4_ncpu,ext4_ops,ext4_media,ext4_dax_ncpu,ext4_dax_ops,ext4_dax_media,ext4_dj_ncpu,ext4_dj_ops,ext4_dj_media,nova_ncpu,nova_ops,nova_media,p2cache_ncpu,p2cache_ops,p2cache_media,xfs_ncpu,xfs_ops,xfs_media,xfs_dax_ncpu,xfs_dax_ops,xfs_dax_media
0,A_100B,1,177.883961,ssd,1,22473.286516,pmem,1,212.544463,ssd,1,358468.400306,pmem,1,1376481.75627,pmem,1,233.209834,ssd,1,24757.18432,pmem
1,A_16KB,1,171.508442,ssd,1,1677.470868,pmem,1,164.799055,ssd,1,245660.200544,pmem,1,410724.35793,pmem,1,227.719238,ssd,1,17199.754244,pmem
2,A_1KB,1,179.077627,ssd,1,2103.334836,pmem,1,204.062245,ssd,1,263544.740295,pmem,1,1387842.402296,pmem,1,236.734834,ssd,1,25336.898706,pmem
3,A_1MB,1,70.312783,ssd,1,1077.852757,pmem,1,30.378558,ssd,1,13836.715942,pmem,1,8127.95174,pmem,1,103.567946,ssd,1,2177.569756,pmem
4,A_2KB,1,177.836624,ssd,1,2001.827261,pmem,1,191.753429,ssd,1,251948.282863,pmem,1,763898.521415,pmem,1,236.856498,ssd,1,21892.487928,pmem
5,A_4KB,1,175.375611,ssd,1,1771.245825,pmem,1,173.74237,ssd,1,335682.245121,pmem,1,668690.341967,pmem,1,233.637143,ssd,1,20560.620119,pmem
6,A_64KB,1,161.090093,ssd,1,1506.750812,pmem,1,137.436412,ssd,1,127390.912201,pmem,1,122790.056284,pmem,1,215.988851,ssd,1,13843.192722,pmem
7,O_100B,1,386.956322,ssd,1,302409.896225,pmem,1,187.81519,ssd,1,358719.102273,pmem,1,1424737.398491,pmem,1,420.457094,ssd,1,448685.528359,pmem
8,O_1KB,1,385.708952,ssd,1,272282.931448,pmem,1,181.639723,ssd,1,261723.998414,pmem,1,895366.292265,pmem,1,424.385599,ssd,1,383156.2331,pmem
9,O_2KB,1,386.464309,ssd,1,252894.631739,pmem,1,170.281144,ssd,1,240198.283801,pmem,1,756933.907171,pmem,1,418.108094,ssd,1,372590.948597,pmem
